Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0382588932821924,0.0535806284264134,0.0459723235898436,0,0,0,0.986212675679095,0.00042849081010819,-8.83634264761844E-07,-5.25192235662999E-07,0.0018100821435672,3.4294164006644E-06,0.00186279127314736,0,0,0,0,0,0,package://Assem_final/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Assem_final/meshes/base_link.STL,,Motor_holder_2-1;bottom_shell-3;2020_alu_section_25cm-1;Encoder_holder-3;top_shell-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,8.40129426049677E-05,0.0369198769089664,0.165494206593458,0,0,0,0.498165904436461,0.000472806717582506,5.25195545344476E-07,-8.83636861611358E-07,0.000568689072913643,-8.10645976956936E-06,0.000393281710139591,0,0,0,0,0,0,package://Assem_final/meshes/L1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Assem_final/meshes/L1.STL,,Link1-1;bottom_shell-2;top_shell-2;Encoder_holder-2,Origin_J1,Axis_J1,J1,continuous,0.03819115484122,0.00762393016926217,0.0732791643351732,3.14159265358975,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
L2,0.000920993042551568,0.00250852605885983,0.0794638442103484,0,0,0,0.0338520299962381,0.00011588001578817,2.65821064558176E-10,-2.18049576158245E-06,0.000121119383130265,2.29352043784563E-08,5.38022012915508E-06,0,0,0,0,0,0,package://Assem_final/meshes/L2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Assem_final/meshes/L2.STL,,Link2-1,Origin_J2,Axis_J2,J2,continuous,0,0.0765830000000001,0.169999999999996,0,0,0,L1,0,1,0,,,,,,,,,,,,
